smiles,zinc_id,minimal_disttoref,consensus_sars,tox_counts,ct_tox
C#Cc1cccc(NC(=S)NN=Cc2cnc3ccc(Br)cn23)c1,ZINC000735971459,0.613333,0.812148,6,0.068481
CN(N=Cc1nc2ccc(Cl)cc2n1C)C(=S)NCc1ccccc1,ZINC000763346696,0.647887,0.812122,4,0.062744
Cc1nn(C)c2ncc(C=NNC(=S)NCCc3ccc(Cl)cc3)cc12,ZINC000747610063,0.671233,0.811858,7,0.056579
CC(=NNC(=S)NCc1ccccc1)c1nc2ccc(Cl)cc2n1C,ZINC000760225878,0.628571,0.811819,4,0.107319
CNC(=S)N/N=C\c1cn(Cc2ccc3ccccc3c2)c2ccccc12,ZINC000006949959,0.620690,0.811803,7,0.238708
S=C(NNc1nncc2ccccc12)Nc1ccccc1,ZINC000006276898,0.622642,0.811648,5,0.052837
Cc1cccc(Cn2cc(/C=N/NC(N)=S)c3ccccc32)c1,ZINC000001093713,0.573770,0.811605,13,0.246834
CSCCNC(=S)NN=Cc1sc2ccccc2c1Cl,ZINC000769598864,0.610169,0.811331,4,0.050251
Cc1nn(C)c2nc(Cl)c(C=NNC(=S)NCc3ccccc3)cc12,ZINC000920363229,0.500000,0.811215,6,0.074129
N#Cc1ccccc1Cn1cc(/C=N/NC(N)=S)c2ccccc21,ZINC000001098408,0.614035,0.811180,17,0.103561
S=C(NN=Cc1cn2ccc(Br)cc2n1)Nc1ccccc1,ZINC000811630635,0.557377,0.811179,6,0.051462
Cc1cccc2cc(C=NNC(=S)NCC(F)(F)F)c(Cl)nc12,ZINC000746494542,0.590164,0.811046,5,0.062355
C#Cc1cccc(NC(=S)NN=Cc2cn3cc(Cl)ccc3n2)c1,ZINC000727261913,0.614286,0.810959,4,0.064469
CN(N=Cc1nc2cc(Cl)ccc2n1C)C(=S)NCc1ccccc1,ZINC000755524919,0.666667,0.810885,3,0.056928
Cn1c(C=NNC(=S)NCc2ccccc2)nc2ccc(Cl)cc21,ZINC000763345218,0.515625,0.810724,4,0.085842
NC(=S)N/N=C/c1cn(Cc2ccccc2Cl)c2ccccc12,ZINC000058822635,0.592593,0.810594,16,0.090801
CSCCNC(=S)NN=Cc1ccc(-n2cnc3ccccc32)cc1,ZINC000769599398,0.651515,0.810576,7,0.059988
C=CCNC(=S)NN=Cc1c(C)c(C(=O)c2ccccc2)n2ccccc12,ZINC000917566809,0.666667,0.810531,4,0.053434
C=CCNC(=S)NN=C(C)c1nc2ccc(Cl)cc2n1C,ZINC000760223419,0.676923,0.810435,4,0.082493
S=C(NCCc1ccccn1)NN=C1COc2c(Br)cc(Cl)cc21,ZINC000814828065,0.676923,0.810424,9,0.051731
S=C(NNc1cnnc2ccccc12)Nc1ccc(Br)cc1,ZINC000783738286,0.696429,0.810354,5,0.051820
NC(=O)CNC(=S)NN=Cc1c2ccccc2c(Cl)c2ccccc12,ZINC000731930301,0.551020,0.810311,2,0.052770
CNC(=S)NN=Cc1sc2ccccc2c1Cl,ZINC000751374926,0.557692,0.810293,4,0.050264
S=C(Nc1cnc2ccccc2c1Cl)Nc1cccc2ccccc12,ZINC001200094066,0.600000,0.810278,11,0.094591
CNC(=S)NN=Cc1cn2cc(Cl)ccc2n1,ZINC000920357890,0.666667,0.810129,3,0.050997
CC(=NNC(=S)NCc1cccnc1)c1nc2ccccc2n1C(F)F,ZINC001317745278,0.679487,0.810117,4,0.091028
O=C(NNC(=S)NCCSc1ccc(Cl)cc1)c1ccc2ccccc2n1,ZINC000061242337,0.587302,0.810094,3,0.050736
CNC(=S)NN=Cc1sc(Sc2ccccc2)nc1Cl,ZINC000814691811,0.688525,0.809989,6,0.051121
CC(=NNC(=S)NCc1ccccc1)c1nc2ccccc2n1C(F)F,ZINC000812384457,0.629032,0.809983,3,0.068754
Fc1cccc(Cn2ccc3cc(/C=N/NC(=S)Nc4ccccc4)ccc32)c1,ZINC000409221149,0.619718,0.809923,15,0.057917
S=C(NNc1cncc(Cl)n1)Nc1ccc2ccccc2c1,ZINC000916016204,0.666667,0.809908,9,0.051071
S=C(Nc1ccc(Cl)nc1)NN(c1ccccc1)c1ccccc1,ZINC000727064958,0.558140,0.809902,9,0.050313
S=C(Nc1ccc(Cl)nc1)NN(Cc1ccccc1)c1ccccc1,ZINC000727065256,0.648148,0.809902,13,0.050443
O=C1c2cccc3cccc(c23)C(=O)N1NC(=S)NCCSc1ccc(Cl)cc1,ZINC000018140359,0.666667,0.809840,3,0.055156
C/C(=N/NC(=S)Nc1nccs1)c1nccc2ccccc12,ZINC000005518517,0.660714,0.809735,10,0.064128
C/C(=N\NC(=S)Nc1nccs1)c1nccc2ccccc12,ZINC000016940592,0.660714,0.809735,10,0.064128
Cc1cccn2cc(COc3ccc(C=NNC(=S)NCC(F)(F)F)cc3)nc12,ZINC000746497063,0.698630,0.809701,8,0.052546
COc1cccc(NC(=S)NN=Cc2cn3cc(Cl)ccc3n2)c1,ZINC000920361355,0.507692,0.809671,9,0.057590
FC(F)(F)CNC(=S)NN=Cc1ccccc1OCc1cn2ccccc2n1,ZINC000748585208,0.584615,0.809630,6,0.050710
Cc1ccc2cc(C=NNC(=S)NCC(F)(F)F)ccc2n1,ZINC000783512909,0.603774,0.809610,4,0.050476
S=C(NNc1ccc(Br)nc1)Nc1ccc2ccccc2c1,ZINC000732726715,0.678571,0.809594,8,0.050870
S=C(NNc1cnnc2ccccc12)Nc1cccc(Br)c1,ZINC000733755852,0.655738,0.809577,5,0.055567
S=C(NNc1ccccc1)Nc1ccc2nc3c4ccccc4c4ccccc4c3nc2c1,ZINC000408735533,0.649123,0.809548,7,0.061352
C=CCNC(=S)N/N=C\c1cn(Cc2ccc3ccccc3c2)c2ccccc12,ZINC000006295797,0.645161,0.809423,8,0.189344
C=CCNC(=S)NN=Cc1cc2c(C)nn(C)c2nc1Cl,ZINC000920362776,0.671875,0.809371,5,0.075267
C=CCNC(=S)NN=C(C)c1nc2cc(Cl)ccc2n1C,ZINC000749156445,0.676923,0.809364,5,0.067348
S=C(NCCc1ccccn1)NN=C1COc2cc(Cl)cc(Cl)c21,ZINC000743437370,0.661290,0.809350,6,0.051975
Cn1nnc2cc(C=NNC(=S)NCCc3ccc(Cl)cc3)ccc21,ZINC000737423140,0.628571,0.809239,7,0.050417
CC(=NN(C)C(=S)NCc1ccccc1)c1ccc2ccccc2n1,ZINC000749811913,0.691176,0.809175,4,0.050583
S=C(N/N=C/c1ccc(Cl)cc1Cl)Nc1cccc2cc3ccccc3nc12,ZINC000017314421,0.641791,0.809152,27,0.059187
S=C(N/N=C\c1ccc(Cl)cc1Cl)Nc1cccc2cc3ccccc3nc12,ZINC000004707251,0.641791,0.809152,27,0.059187
Cn1c(C=NNC(=S)NCc2ccccc2)nc2cc(Cl)ccc21,ZINC000755505488,0.517241,0.809126,4,0.069205
CNC(=S)NN=Cc1cc2ccccc2nc1Cl,ZINC000916265969,0.625000,0.809100,5,0.087301
S=C(NCCc1ccc(Cl)cc1)NN=Cc1cnc2ccccn12,ZINC000755575089,0.640625,0.809037,7,0.050566
C#Cc1cccc(NC(=S)NNc2cnnc3ccccc23)c1,ZINC000733755955,0.692308,0.809021,4,0.070477
C[C@H](NC(=S)NN=Cc1ccc2c(c1)nnn2C)c1ccc(Cl)cc1Cl,ZINC000737435737,0.606061,0.808983,7,0.056526
O=C(Cc1ccc(Cl)cc1)NC(=S)Nc1cccc2ccccc12,ZINC000001176863,0.660377,0.808955,1,0.051498
S=C(NCc1ccccc1)NN=Cc1cn2ccc(Br)cc2n1,ZINC000811630793,0.508772,0.808930,5,0.055473
C/C(=N\NC(=S)Nc1ccccc1)c1cnc2ccccc2n1,ZINC000016137162,0.555556,0.808815,10,0.050309
CN(N=Cc1cnc2ccc(Br)cn12)C(=S)NCc1ccccc1,ZINC000735970911,0.681818,0.808809,4,0.050932
CC(=NNC(=S)NCCc1ccc(Cl)cc1)c1nc2ccccc2n1C,ZINC000744747207,0.636364,0.808807,8,0.056618
C=CCN(C(=S)Nc1ccc2ccccc2c1)c1ccccc1,ZINC000915995175,0.648148,0.808683,3,0.052508
S=C(N/N=c1/ccc2ccccc2[nH]1)Nc1cccc(Br)c1,ZINC000052589989,0.656250,0.808643,9,0.053103
CSCCNC(=S)NN=Cc1cc2ccccc2nc1Cl,ZINC000769605435,0.559322,0.808613,14,0.072240
S=C(NCCc1ccc(Cl)cc1)NN=C1CCCn2nccc21,ZINC000853277030,0.672131,0.808567,6,0.050481
CC(=NNC(=S)NCC(F)(F)F)c1nc2ccccc2n1C(F)F,ZINC000746497087,0.671875,0.808558,3,0.054093
S=C(NN=C1CCOc2ccc(Cl)cc21)Nc1ccccn1,ZINC000783857239,0.526316,0.808483,6,0.052286
FC(F)(F)CNC(=S)NN=Cc1cn2ccccc2n1,ZINC000746491705,0.633333,0.808468,3,0.050671
S=C(NN=C1COc2ccc(Br)cc21)Nc1ccccn1,ZINC000814882575,0.574074,0.808348,9,0.051002
S=C(NN=Cc1cn2cc(Cl)ccc2n1)Nc1cccc(Cl)c1,ZINC000920364016,0.578125,0.808348,5,0.051767
CSCCNC(=S)NN=Cc1cc(Cl)cc2cccnc12,ZINC000769599515,0.625000,0.808285,8,0.056797
O=c1c(Br)nn(Cc2nsc3ccccc23)c2ccccc12,ZINC001656403165,0.762712,0.808267,7,0.052381
S=C(NN=Cc1cnc2ccc(Br)cn12)Nc1cccc(Cl)c1,ZINC000735970843,0.597222,0.808158,6,0.052630
